Artistes;Artistes - nom corrig�;ID
Floetry;Floetry;326
Florence + The Machine;Florence + The Machine;327
Florida Georgia Line;Florida Georgia Line;328
Flume;Flume;329
Foo Fighters;Foo Fighters;330
Fort Minor;Fort Minor;331
Foster The People;Foster The People;332
Fragma;Fragma;333
Frank Ocean;Frank Ocean;334
Frank Sinatra;Frank Sinatra;335
Frank Zappa;Frank Zappa;336
Frankie J;Frankie J;337
Franz Ferdinand;Franz Ferdinand;338
French Montana;French Montana;339
Fuel;Fuel;340
fun.;fun.;341
Future;Future;342
G.R.L.;G.R.L.;345
Gabriella Cilmi;Gabriella Cilmi;346
Gabrielle;Gabrielle;347
Galantis;Galantis;348
Gareth Gates;Gareth Gates;349
Garrett Nash;Garrett Nash;350
Gary Jules;Gary Jules;351
Gavin DeGraw;Gavin DeGraw;352
G-Eazy;G Eazy;343
Genesis;Genesis;353
George Benson;George Benson;354
George Harrison;George Harrison;355
George Michael;George Michael;356
George Strait;George Strait;357
Geri Halliwell;Geri Halliwell;358
Gesaffelstein;Gesaffelstein;359
Gigi D'Agostino;Gigi D Agostino;360
Ginuwine;Ginuwine;361
girl in red;girl in red;362
Girls Aloud;Girls Aloud;363
Glen Campbell;Glen Campbell;364
Gnarls Barkley;Gnarls Barkley;365
Good Charlotte;Good Charlotte;366
Gorgon City;Gorgon City;367
Gorillaz;Gorillaz;368
Gotye;Gotye;369
Gotye feat Kimbra;Gotye;369
Gram Parsons;Gram Parsons;370
Grateful Dead;Grateful Dead;371
Green Day;Green Day;372
Grimes;Grimes;373
Grouplove;Grouplove;374
Grupo Firme;Grupo Firme;375
G-Unit;G Unit;344
Guns N' Roses;Guns N Roses;376
Guru Josh Project;Guru Josh Project;377
Guy Sebastian;Guy Sebastian;378
Gwen Stefani;Gwen Stefani;379
Gym Class Heroes;Gym Class Heroes;380
"H ""two"" O";H two O;381
Halsey;Halsey;382
Hank Williams;Hank Williams;383
Harry Styles;Harry Styles;384
Hayden James;Hayden James;385
Henry Mancini;Henry Mancini;386
Herb Alpert;Herb Alpert;387
Herbie Hancock;Herbie Hancock;388
Hilltop Hoods;Hilltop Hoods;389
Hinder;Hinder;390
Holly Valance;Holly Valance;391
Hoobastank;Hoobastank;392
Hot Chelle Rae;Hot Chelle Rae;393
Houston;Houston;394
Howlin' Wolf;Howlin Wolf;395
Hozier;Hozier;396
Huey;Huey;397
Hugh Jackman;Hugh Jackman;398
iann dior;iann dior;399
Icona Pop;Icona Pop;400
Ida Corr;Ida Corr;401
Iggy Azalea;Iggy Azalea;402
iio;iio;403
Illy;Illy;404
Imagine Dragons;Imagine Dragons;405
Infernal;Infernal;406
INNA;INNA;407
Iyaz;Iyaz;408
J Balvin;J Balvin;409
J. Cole;J. Cole;411
J. Holiday;J. Holiday;412
Ja Rule;Ja Rule;413
Jack Ü;Jack U;414
Jack White;Jack White;415
Jackie Wilson;Jackie Wilson;416
Jagged Edge;Jagged Edge;417
Jaheim;Jaheim;418
Jamelia;Jamelia;419
James Arthur;James Arthur;420
James Blunt;James Blunt;421
James Brown;James Brown;422
James Morrison;James Morrison;423
James Taylor;James Taylor;424
Jamie Foxx;Jamie Foxx;425
Jamiroquai;Jamiroquai;426
Janet Jackson;Janet Jackson;427
Janis Joplin;Janis Joplin;428
Jason Aldean;Jason Aldean;429
Jason Derulo;Jason Derulo;430
Jax Jones;Jax Jones;431
Jay Rock;Jay Rock;432
Jay Sean;Jay Sean;433
Jay-Z;Jay Z;434
Jeezy;Jeezy;435
Jennifer Hudson;Jennifer Hudson;436
Jennifer Lopez;Jennifer Lopez;437
Jeremih;Jeremih;438
Jerry Lee Lewis;Jerry Lee Lewis;439
Jessica Simpson;Jessica Simpson;440
Jessie J;Jessie J;441
Jibbs;Jibbs;442
Jim Jones;Jim Jones;443
Jimi Hendrix;Jimi Hendrix;444
Jimmy Eat World;Jimmy Eat World;445
J-Kwon;J Kwon;410
JLS;JLS;446
Joao Gilberto;Joao Gilberto;447
Joe;Joe;448
Joel Adams;Joel Adams;449
Joel Corry;Joel Corry;450
John Legend;John Legend;451
John Lennon;John Lennon;452
John Newman;John Newman;453
Johnny Cash;Johnny Cash;454
JoJo;JoJo;455
Jon Bellion;Jon Bellion;456
Jonas Blue;Jonas Blue;457
Jonas Brothers;Jonas Brothers;458
Joni Mitchell;Joni Mitchell;459
Jordin Sparks;Jordin Sparks;460
Journey;Journey;461
Juanes;Juanes;462
Judy Garland;Judy Garland;463
Juice WRLD;Juice WRLD;464
Junior Senior;Junior Senior;465
Just Jack;Just Jack;466
Justin Bieber;Justin Bieber;467
Justin Timberlake;Justin Timberlake;468
JUVENILE;JUVENILE;469
Kaiser Chiefs;Kaiser Chiefs;472
KALEO;KALEO;473
Kandi;Kandi;474
Kanye West;Kanye West;475
Kardinal Offishall;Kardinal Offishall;476
Kasabian;Kasabian;477
Katie Melua;Katie Melua;478
Katy Perry;Katy Perry;479
K-Ci & JoJo;K Ci and JoJo;470
Keane;Keane;480
Kehlani;Kehlani;481
Keith Urban;Keith Urban;482
Kelis;Kelis;483
Kelly Clarkson;Kelly Clarkson;484
Kelly Rowland;Kelly Rowland;485
Kendrick Lamar;Kendrick Lamar;486
Kenny Chesney;Kenny Chesney;487
Kent Jones;Kent Jones;488
Keri Hilson;Keri Hilson;489
Kesha;Kesha;490
Kevin Gates;Kevin Gates;491
Kevin Lyttle;Kevin Lyttle;492
Kevin Rudolf;Kevin Rudolf;493
Keyshia Cole;Keyshia Cole;494
Khalid;Khalid;495
Khia;Khia;496
Kid Cudi;Kid Cudi;497
Kid Ink;Kid Ink;498
Kiesza;Kiesza;499
Kiiara;Kiiara;500
Kim Carnes;Kim Carnes;501
Kings of Leon;Kings of Leon;502
Kiss;Kiss;503
Klangkarussell;Klangkarussell;504
Klaxons;Klaxons;505
Klingande;Klingande;506
K'NAAN;K NAAN;471
Kodak Black;Kodak Black;507
Kris Allen;Kris Allen;508
KT Tunstall;KT Tunstall;509
Kungs;Kungs;510
Kygo;Kygo;511
Kylie Minogue;Kylie Minogue;512
La Roux;La Roux;513
Labrinth;Labrinth;514
Lady A;Lady A;515
Lady Antebellum;Lady Antebellum;516
Lady Gaga;Lady Gaga;517
Lana Del Rey;Lana Del Rey;518
Las Ketchup;Las Ketchup;519
Lasgo;Lasgo;520
Lauryn Hill;Lauryn Hill;521
Lauv;Lauv;522
LeAnn Rimes;LeAnn Rimes;523
Led Zeppelin;Led Zeppelin;524
Lemaitre;Lemaitre;525
Lemar;Lemar;526
Lenny Kravitz;Lenny Kravitz;527
Leona Lewis;Leona Lewis;528
Lewis Capaldi;Lewis Capaldi;529
Liam Payne;Liam Payne;530
Liberty X;Liberty X;531
Lifehouse;Lifehouse;532
Lil Baby;Lil Baby;533
Lil Dicky;Lil Dicky;534
Lil' Flip;Lil Flip;535
Lil Jon;Lil Jon;536
Lil Jon & The East Side Boyz;Lil Jon and The East Side Boyz;537
Lil' Kim;Lil Kim;538
Lil Nas X;Lil Nas X;539
Lil Peep;Lil Peep;540
Lil Pump;Lil Pump;541
Lil Tecca;Lil Tecca;542
