,ID Artist,year,genre,duration,popularity
263,289,2002,hiphop,297.84,71
264,63,2002,hiphop,262.226,61
264,63,2002,pop,262.226,61
264,63,2002,r&b,262.226,61
265,236,2003,pop,251.28,54
266,724,2001,pop,192.533,68
267,38,2001,pop,303.333,52
267,38,2001,r&b,303.333,52
268,218,2002,pop,161.24,56
269,203,2002,rock,307.879,79
269,203,2002,pop,307.879,79
270,628,2002,hiphop,263.226,70
270,628,2002,pop,263.226,70
270,628,2002,r&b,263.226,70
271,777,2002,pop,214.306,60
271,777,2002,rock,214.306,60
272,108,2002,hiphop,335.613,64
272,108,2002,pop,335.613,64
273,209,2001,pop,294.6,69
273,209,2001,rock,294.6,69
273,209,2001,metal,294.6,69
274,413,2001,hiphop,245.133,73
274,413,2001,pop,245.133,73
274,413,2001,r&b,245.133,73
275,63,2002,hiphop,227.386,70
275,63,2002,pop,227.386,70
275,63,2002,r&b,227.386,70
276,74,2002,pop,204.0,75
277,258,2002,pop,233.6,63
278,147,2001,pop,231.066,58
279,160,2002,hiphop,204.706,67
279,160,2002,pop,204.706,67
280,753,2002,rock,216.933,73
281,287,2002,rock,211.506,60
281,287,2002,easylistening,211.506,60
282,68,2002,pop,206.093,65
283,680,2001,pop,253.6,50
284,766,2001,pop,170.493,64
284,766,2001,rock,170.493,64
285,27,2002,pop,269.4,57
285,27,2002,folk/acoustic,269.4,57
286,976,2001,hiphop,269.4,59
286,976,2001,pop,269.4,59
286,976,2001,r&b,269.4,59
287,209,2015,pop,242.0,47
287,209,2015,rock,242.0,47
287,209,2015,metal,242.0,47
288,898,2002,pop,238.173,56
288,898,2002,rock,238.173,56
289,739,2001,rock,216.76,70
289,739,2001,metal,216.76,70
290,563,2001,hiphop,296.586,60
290,563,2001,pop,296.586,60
291,119,2012,set(),188.693,40
292,235,2001,rock,268.693,40
292,235,2001,pop,268.693,40
292,235,2001,metal,268.693,40
293,618,2001,pop,217.68,60
293,618,2001,folk/acoustic,217.68,60
294,218,2002,pop,257.026,58
295,292,2001,pop,208.626,56
295,292,2001,latin,208.626,56
296,739,2001,rock,303.92,64
296,739,2001,metal,303.92,64
297,203,2002,rock,226.68,72
297,203,2002,pop,226.68,72
298,697,2001,hiphop,295.346,51
298,697,2001,pop,295.346,51
299,724,2001,pop,210.693,60
300,9,2003,hiphop,193.466,81
300,9,2003,pop,193.466,81
301,807,2002,hiphop,211.666,74
301,807,2002,pop,211.666,74
302,289,2004,hiphop,322.226,77
303,104,2003,pop,236.133,76
303,104,2003,r&b,236.133,76
304,204,2003,rock,225.426,50
304,204,2003,pop,225.426,50
305,113,2003,hiphop,272.533,68
305,113,2003,pop,272.533,68
306,437,2002,hiphop,187.84,70
306,437,2002,pop,187.84,70
306,437,2002,r&b,187.84,70
307,113,2003,hiphop,296.186,56
307,113,2003,pop,296.186,56
308,867,2020,pop,214.44,39
309,101,2003,pop,285.57,66
309,101,2003,dance/electronic,285.57,66
310,155,2002,hiphop,324.306,68
310,155,2002,pop,324.306,68
311,703,2003,world/traditional,244.666,61
311,703,2003,hiphop,244.666,61
312,627,2004,pop,238.84,59
312,627,2004,dance/electronic,238.84,59
313,434,2002,hiphop,205.56,71
314,9,2003,hiphop,249.48,76
314,9,2003,pop,249.48,76
315,419,2003,pop,215.48,69
316,548,2003,rock,162.6,72
316,548,2003,metal,162.6,72
317,260,2007,hiphop,217.586,70
317,260,2007,pop,217.586,70
318,301,2003,metal,235.893,79
319,862,2003,pop,218.173,57
319,862,2003,r&b,218.173,57
320,205,2002,hiphop,287.226,59
320,205,2002,pop,287.226,59
320,205,2002,r&b,287.226,59
321,935,2003,rock,231.48,72
321,935,2003,metal,231.48,72
322,537,2002,hiphop,324.6,47
322,537,2002,pop,324.6,47
323,81,2003,hiphop,282.773,62
323,81,2003,pop,282.773,62
323,81,2003,r&b,282.773,62
324,83,2003,hiphop,239.026,73
324,83,2003,pop,239.026,73
324,83,2003,r&b,239.026,73
324,83,2003,latin,239.026,73
325,15,2002,hiphop,245.24,36
325,15,2002,pop,245.24,36
325,15,2002,r&b,245.24,36
326,147,2003,pop,223.773,59
327,124,2004,pop,210.066,57
328,236,2003,pop,248.546,54
329,468,2002,pop,267.266,76
330,929,2003,rock,231.92,3
330,929,2003,blues,231.92,3
331,1010,2003,hiphop,298.6,54
331,1010,2003,pop,298.6,54
332,104,2003,pop,244.826,63
332,104,2003,r&b,244.826,63
333,538,2019,hiphop,359.973,47
333,538,2019,pop,359.973,47
333,538,2019,r&b,359.973,47
334,193,2002,pop,255.266,61
335,666,2003,rock,207.466,68
335,666,2003,metal,207.466,68
336,124,2003,pop,222.4,48
337,63,2003,hiphop,297.96,50
337,63,2003,pop,297.96,50
337,63,2003,r&b,297.96,50
338,957,2002,rock,285.569,72
338,957,2002,metal,285.569,72
339,834,2008,rock,199.04,58
339,834,2008,r&b,199.04,58
339,834,2008,folk/acoustic,199.04,58
339,834,2008,pop,199.04,58
340,567,2003,pop,184.906,61
340,567,2003,r&b,184.906,61
341,363,2003,pop,221.426,58
341,363,2003,dance/electronic,221.426,58
342,658,2016,hiphop,293.666,52
342,658,2016,pop,293.666,52
342,658,2016,r&b,293.666,52
343,778,2003,dance/electronic,212.413,57
344,312,2009,hiphop,164.506,49
345,547,2003,metal,269.973,70
346,862,2003,pop,237.693,58
346,862,2003,r&b,237.693,58
347,9,2003,hiphop,219.4,57
347,9,2003,pop,219.4,57
348,719,2003,hiphop,236.506,67
348,719,2003,pop,236.506,67
349,188,2003,hiphop,250.746,69
349,188,2003,pop,250.746,69
349,188,2003,r&b,250.746,69
350,289,2002,hiphop,339.546,71
351,538,2003,hiphop,234.8,48
351,538,2003,pop,234.8,48
351,538,2003,r&b,234.8,48
352,645,2003,pop,209.533,48
352,645,2003,r&b,209.533,48
353,9,2003,hiphop,224.44,72
353,9,2003,pop,224.44,72
354,658,2002,hiphop,304.0,61
354,658,2002,pop,304.0,61
354,658,2002,r&b,304.0,61
355,628,2002,hiphop,234.893,57
355,628,2002,pop,234.893,57
