,artist,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
84,Basement Jaxx,249899.5,0.0,0.0,0.6419999999999999,0.8985,-3.6315,0.10555,0.036295,0.001016535,0.3655,140.4615,0.5785,2001,2003,2
85,Basshunter,162319.5,0.0,64.0,0.642,0.98,-6.277,0.2024,0.09265000000000001,0.003505,0.1248,146.472,0.4535,2008,2008,2
86,Bastille,211615.0,0.0,66.66666666666667,0.6930000000000001,0.7673333333333333,-6.157,0.04956666666666667,0.08056666666666666,7.5e-05,0.22366666666666668,124.16199999999999,0.599,2013,2016,3
87,Bazzi,131064.0,1.0,75.0,0.71,0.789,-3.874,0.0722,0.0161,2.77e-06,0.451,142.929,0.717,2018,2018,1
88,Becky G,197363.0,0.0,73.5,0.745,0.637,-5.6215,0.047549999999999995,0.19285,3.26e-05,0.19449999999999998,107.00049999999999,0.4705,2014,2018,2
89,Benny Benassi,285570.0,0.0,66.0,0.793,0.698,-3.626,0.104,0.163,0.145,0.0745,130.017,0.339,2003,2003,1
90,Beyonce,237826.3125,0.125,64.375,0.6410625,0.655,-6.0875625,0.14894375,0.084154375,8.583125e-05,0.16389375,118.96825000000001,0.5243125,2003,2016,16
91,Big Brovaz,201480.0,0.0,45.0,0.783,0.726,-8.718,0.106,0.0903,2.53e-06,0.363,148.062,0.784,2001,2001,1
92,Big Sean,253373.0,1.0,73.0,0.802,0.6539999999999999,-5.551,0.10015,0.0711,0.0,0.227,89.737,0.334,2015,2017,2
93,Big Shaq,186026.0,0.0,62.0,0.905,0.884,-4.076,0.236,0.111,8.31e-05,0.107,135.048,0.588,2017,2017,1
94,Big Tymers,335613.0,1.0,64.0,0.675,0.607,-3.538,0.162,0.0302,8.97e-06,0.339,177.928,0.56,2002,2002,1
95,Billie Eilish,193706.6,0.0,82.8,0.5843999999999999,0.3448,-11.6766,0.16428,0.7664,0.05887800000000001,0.0951,121.14020000000001,0.22200000000000003,2017,2019,5
96,Bingo Players,166933.0,0.0,1.0,0.801,0.985,-2.69,0.0645,0.0205,6.86e-06,0.296,127.99,0.722,2013,2013,1
97,Birdy,266431.5,0.0,58.0,0.4285,0.5685,-6.589,0.02775,0.45004999999999995,5.2e-07,0.12445,95.12,0.199,2013,2015,2
98,Black Eyed Peas,257836.85714285713,0.14285714285714285,65.5,0.7551428571428571,0.7572857142857143,-5.385857142857143,0.15797857142857144,0.09490571428571429,0.000124985,0.33631428571428573,115.18178571428572,0.5842142857142857,2003,2010,14
99,Blake Shelton,213220.0,0.0,53.0,0.5285,0.7875,-4.878,0.036750000000000005,0.128335,7.45e-07,0.11449999999999999,171.18599999999998,0.6525,2011,2013,2
100,Blanco Brown,200593.0,0.0,69.0,0.847,0.678,-8.635,0.109,0.0669,0.0,0.274,97.984,0.811,2019,2019,1
101,Blazin Squad,188693.0,0.0,40.0,0.661,0.746,-5.153,0.042,0.109,0.0,0.325,144.188,0.502,2012,2012,1
102,BlocBoy JB,181263.0,1.0,73.0,0.922,0.581,-7.495,0.27,0.00104,5.86e-05,0.105,140.022,0.595,2018,2018,1
103,Blu Cantrell,250706.0,0.0,71.0,0.667,0.773,-4.983,0.0586,0.201,0.0,0.404,89.976,0.667,2001,2001,1
104,Blue,214151.6,0.0,57.2,0.63,0.7003999999999999,-4.8604,0.03269999999999999,0.1471,8.837999999999999e-06,0.21574,101.6892,0.7552,2001,2004,5
105,Blueface,129264.0,1.0,1.0,0.906,0.382,-12.89,0.269,0.18,0.0,0.113,104.025,0.391,2018,2018,1
106,Bob Sinclar,226539.5,0.0,59.0,0.804,0.8175,-4.7330000000000005,0.092,0.1232,6.7e-05,0.04745,128.0245,0.728,2005,2006,2
107,Bobby Shmurda,194561.0,1.0,73.0,0.794,0.51,-7.314,0.42,0.0505,1.81e-06,0.0562,167.879,0.18,2014,2014,1
108,Bobby V.,258666.0,0.0,65.0,0.568,0.732,-4.896,0.103,0.179,4.92e-06,0.401,186.048,0.626,2005,2005,1
109,Bodyrockers,200053.0,0.0,54.0,0.642,0.851,-3.638,0.0431,0.0248,0.0146,0.084,127.988,0.777,2005,2005,1
110,Bomfunk MC s,306333.0,0.0,55.0,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.252,163.826,0.568,2000,2000,1
111,Bon Jovi,224493.0,0.0,78.0,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,119.992,0.544,2000,2000,1
112,Bone Thugs N Harmony,287480.0,1.0,61.0,0.727,0.71,-6.142,0.0742,0.0104,0.0,0.107,81.995,0.378,2007,2007,1
113,Bow Wow,217123.0,0.0,55.25,0.78825,0.6505,-7.179749999999999,0.1594,0.165925,0.00010225,0.1301,97.38725,0.698,2000,2006,4
114,Boys Like Girls,216613.0,0.0,63.0,0.4315,0.958,-3.5909999999999997,0.10225,0.001715,1.695e-06,0.16899999999999998,149.96949999999998,0.4585,2007,2009,2
115,Brandy,257919.66666666666,0.0,48.333333333333336,0.6656666666666666,0.7130000000000001,-4.313666666666667,0.1315666666666667,0.21388666666666667,0.0014522666666666668,0.18500000000000003,100.36099999999999,0.6376666666666667,2002,2002,3
116,Brian McFadden,229826.0,0.0,42.0,0.561,0.452,-7.324,0.0336,0.409,0.0,0.106,77.984,0.316,2004,2004,1
117,Bridgit Mendler,200946.0,0.0,72.0,0.715,0.872,-3.835,0.0509,0.00351,3.84e-05,0.107,93.043,0.748,2012,2012,1
118,Britney Spears,218405.31578947368,0.05263157894736842,63.05263157894737,0.7082631578947369,0.7472631578947369,-5.505421052631578,0.07255789473684211,0.23435210526315786,0.0014757463157894738,0.1513157894736842,113.82452631578948,0.68,1999,2013,19
119,Bruno Mars,220276.0909090909,0.09090909090909091,78.54545454545455,0.6894545454545454,0.6841818181818181,-5.520727272727272,0.04872727272727273,0.24969090909090907,6.581818181818181e-06,0.15824545454545455,128.99445454545454,0.5745818181818182,2010,2016,11
120,Bryson Tiller,197066.33333333334,1.0,77.33333333333333,0.685,0.38166666666666665,-7.236666666666667,0.19166666666666665,0.18433333333333335,0.0,0.1092,118.03000000000002,0.218,2015,2015,3
121,Bubba Sparxxx,252653.0,1.0,62.0,0.64,0.62,-5.931,0.416,0.016,0.0,0.0831,129.37,0.609,2005,2005,1
